symbol,quarter_label,net_sales_cr,pat_cr,diluted_eps,source_url,pulled_at
ACUTAAS,Sep 2023,164,-21,-2.84,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
ACUTAAS,Dec 2023,162,16,2.13,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
ACUTAAS,Mar 2024,220,32,4.35,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
ACUTAAS,Jun 2024,171,14,1.68,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
ACUTAAS,Sep 2024,244,38,4.60,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
ACUTAAS,Dec 2024,271,45,5.53,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
ACUTAAS,Mar 2025,304,63,7.67,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
ACUTAAS,Jun 2025,206,45,5.45,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
ACUTAAS,Sep 2025,305,73,8.90,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
ACUTAAS,Dec 2025,391,112,13.63,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
ACUTAAS,Mar 2026,422,137,16.74,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
